"len","supp","dose","ID"
4.2,"VC",0.5,"GP1"
11.5,"VC",0.5,"GP2"
7.3,"VC",0.5,"GP3"
5.8,"VC",0.5,"GP4"
6.4,"VC",0.5,"GP5"
10,"VC",0.5,"GP6"
11.2,"VC",0.5,"GP7"
11.2,"VC",0.5,"GP8"
5.2,"VC",0.5,"GP9"
7,"VC",0.5,"GP10"
16.5,"VC",1,"GP11"
16.5,"VC",1,"GP12"
15.2,"VC",1,"GP13"
17.3,"VC",1,"GP14"
22.5,"VC",1,"GP15"
17.3,"VC",1,"GP16"
13.6,"VC",1,"GP17"
14.5,"VC",1,"GP18"
18.8,"VC",1,"GP19"
15.5,"VC",1,"GP20"
23.6,"VC",2,"GP21"
18.5,"VC",2,"GP22"
33.9,"VC",2,"GP23"
25.5,"VC",2,"GP24"
26.4,"VC",2,"GP25"
32.5,"VC",2,"GP26"
26.7,"VC",2,"GP27"
21.5,"VC",2,"GP28"
23.3,"VC",2,"GP29"
29.5,"VC",2,"GP30"
15.2,"OJ",0.5,"GP31"
21.5,"OJ",0.5,"GP32"
17.6,"OJ",0.5,"GP33"
9.7,"OJ",0.5,"GP34"
14.5,"OJ",0.5,"GP35"
10,"OJ",0.5,"GP36"
8.2,"OJ",0.5,"GP37"
9.4,"OJ",0.5,"GP38"
16.5,"OJ",0.5,"GP39"
9.7,"OJ",0.5,"GP40"
19.7,"OJ",1,"GP41"
23.3,"OJ",1,"GP42"
23.6,"OJ",1,"GP43"
26.4,"OJ",1,"GP44"
20,"OJ",1,"GP45"
25.2,"OJ",1,"GP46"
25.8,"OJ",1,"GP47"
21.2,"OJ",1,"GP48"
14.5,"OJ",1,"GP49"
27.3,"OJ",1,"GP50"
25.5,"OJ",2,"GP51"
26.4,"OJ",2,"GP52"
22.4,"OJ",2,"GP53"
24.5,"OJ",2,"GP54"
24.8,"OJ",2,"GP55"
30.9,"OJ",2,"GP56"
26.4,"OJ",2,"GP57"
27.3,"OJ",2,"GP58"
29.4,"OJ",2,"GP59"
23,"OJ",2,"GP60"
